FID,the_geom,SD_Pcode,D_Pcode,District,TS_Pcode,Township,Town_Pcode,Town_MM,Town,State_Divi,Longitude,Latitude,Level,Source,Lat_Long,Remark
mmr_town_january_2020.101,POINT (97.8766184189 27.7281019827),MMR001,MMR001D004,Puta-O,MMR001017,Nawngmun,MMR001017702,ပန်နန်းဒင်,Pannandin,Kachin,97.87661842,27.72810198,Other Town,"GAD, Mar 2015","27.7281019827,97.8766184189",
mmr_town_january_2020.102,POINT (97.8712 20.5136),MMR014,MMR014D003,Langkho,MMR014019,Mongnai,MMR014019701,မိုးနဲ,Mongnai,Shan (South),97.8712,20.5136,Main Town,"GAD, Mar 2015","20.5136,97.8712",
mmr_town_january_2020.103,POINT (97.85423 15.25186),MMR011,MMR011D001,Mawlamyine,MMR011006,Ye,MMR011006701,ရေး,Ye,Mon,97.85423,15.25186,Main Town,"GAD, Mar 2015","15.25186,97.85423",
mmr_town_january_2020.104,POINT (97.83215 15.50351),MMR011,MMR011D001,Mawlamyine,MMR011006,Ye,MMR011006702,လမိုင်း,Lamaing,Mon,97.83215,15.50351,Other Town,"GAD, Mar 2015","15.50351,97.83215",
mmr_town_january_2020.105,POINT (97.82935 15.03752),MMR011,MMR011D001,Mawlamyine,MMR011006,Ye,MMR011006703,ခေါဇာ,Khawzar,Mon,97.82935,15.03752,Other Town,"GAD, Mar 2015","15.03752,97.82935",
mmr_town_january_2020.106,POINT (97.81933 21.92515),MMR014,MMR014D002,Loilen,MMR014015,Kyethi,MMR014015701,ကျေးသီး,Kyethi,Shan (South),97.81933,21.92515,Main Town,"GAD, Mar 2015","21.92515,97.81933",
mmr_town_january_2020.107,POINT (97.81871 17.12574),MMR003,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,MMR003002701,လှိုင်းဘွဲ့,Hlaingbwe,Kayin,97.81871,17.12574,Main Town,"GAD, Mar 2015","17.12574,97.81871",
mmr_town_january_2020.108,POINT (97.81785 27.50532),MMR001,MMR001D004,Puta-O,MMR001017,Nawngmun,MMR001017701,နောင်မွန်း,Nawngmun,Kachin,97.81785,27.50532,Main Town,"GAD, Mar 2015","27.50532,97.81785",
mmr_town_january_2020.109,POINT (97.8 23.9503),MMR015,MMR015D002,Muse,MMR015009,Muse,MMR015009703,(မန်ဟျိုး) မန်ဟီးရိုး,Manhlyoe (Manhero),Shan (North),97.8,23.9503,Other Town,"GAD, Mar 2015","23.9503,97.8",
mmr_town_january_2020.110,POINT (97.74747 22.95277),MMR015,MMR015D001,Lashio,MMR015001,Lashio,MMR015001701,လားရှိုး,Lashio,Shan (North),97.74747,22.95277,District Capital,"GAD, Mar 2015","22.95277,97.74747",
mmr_town_january_2020.111,POINT (97.73403 16.1409),MMR011,MMR011D001,Mawlamyine,MMR011005,Mudon,MMR011005702,ကမာဝက်,Kamarwet,Mon,97.73403,16.1409,Other Town,"GAD, Mar 2015","16.1409,97.73403",
mmr_town_january_2020.112,POINT (97.7333 15.9667),MMR011,MMR011D001,Mawlamyine,MMR011004,Thanbyuzayat,MMR011004701,သံဖြူဇရပ်,Thanbyuzayat,Mon,97.7333,15.9667,Main Town,"GAD, Mar 2015","15.9667,97.7333",
mmr_town_january_2020.113,POINT (97.72671 25.82991),MMR001,MMR001D001,Myitkyina,MMR001003,Injangyang,MMR001003701,အင်ဂျန်းယန်,Injangyang,Kachin,97.72671,25.82991,Main Town,"GAD, Mar 2015","25.82991,97.72671",
mmr_town_january_2020.114,POINT (97.72478 16.25812),MMR011,MMR011D001,Mawlamyine,MMR011005,Mudon,MMR011005701,မုဒုံ,Mudon,Mon,97.72478,16.25812,Main Town,"GAD, Mar 2015","16.25812,97.72478",
mmr_town_january_2020.115,POINT (97.72411 16.37045),MMR011,MMR011D001,Mawlamyine,MMR011002,Kyaikmaraw,MMR011002701,ကျိုက်မရော,Kyaikmaraw,Mon,97.72411,16.37045,Main Town,"GAD, Mar 2015","16.37045,97.72411",
mmr_town_january_2020.116,POINT (97.72369 20.2305),MMR014,MMR014D003,Langkho,MMR014020,Mawkmai,MMR014020701,မောက်မယ်,Mawkmai,Shan (South),97.72369,20.2305,Main Town,"GAD, Mar 2015","20.2305,97.72369",
mmr_town_january_2020.117,POINT (97.72077 24.19932),MMR001,MMR001D003,Bhamo,MMR001012,Momauk,MMR001012702,လွယ်ဂျယ်,Lwegel,Kachin,97.72077,24.19932,Other Town,"GAD, Mar 2015","24.19932,97.72077",
mmr_town_january_2020.118,POINT (97.72022 20.88912),MMR014,MMR014D002,Loilen,MMR014013,Nansang,MMR014013701,နမ့်စန်,Nansang,Shan (South),97.72022,20.88912,Main Town,"GAD, Mar 2015","20.88912,97.72022",
mmr_town_january_2020.119,POINT (97.6818 23.837),MMR015,MMR015D002,Muse,MMR015010,Namhkan,MMR015010701,နမ့်ခမ်း,Namhkan,Shan (North),97.6818,23.837,Main Town,"GAD, Mar 2015","23.837,97.6818",
mmr_town_january_2020.120,POINT (97.66509 21.27024),MMR014,MMR014D002,Loilen,MMR014012,Laihka,MMR014012701,လဲချား,Laihka,Shan (South),97.66509,21.27024,Main Town,"GAD, Mar 2015","21.27024,97.66509",
mmr_town_january_2020.121,POINT (97.6627732859 18.6724617739),MMR002,MMR002D002,Bawlake,MMR002007,Mese,MMR002007701,မယ်စဲ့,Mese,Kayah,97.66277329,18.67246177,Main Town,"GAD, Mar 2015","18.6724617739,97.6627732859",
mmr_town_january_2020.122,POINT (97.6529 17.34688),MMR003,MMR003D004,Hpapun,MMR003003,Hpapun,MMR003003702,ကမမောင်း,Kamarmaung,Kayin,97.6529,17.34688,Other Town,"GAD, Mar 2015","17.34688,97.6529",
